technical_know_how,personal_traits,social_characteristics,motivating_factors
Skilful,Impatient,Socially inept,Curiosity
Bully,Immoral/ Unethical,Low self-worth,No fear of punishment
Bully,Determined,Brain-washed,Manipulate others
Skilful,Determined,Intolerance to diversity of opinion,"Enhancing self-
worth"
Skilful,Insensitive,Brain-washed,"Enhancing self-
worth"
Focussed,Incited,Socially inept,Need to Control others
Sharp (intelligent),Selfish,Mass-destruction,"Concealed
existence"
Well trained,Gullible,Anti-social,Political support
Well-trained,Impatient,Radical,Political beliefs
Well-networked,Coward,Anti-social,Emotions
Well-networked,Incited,Need to outsmart others,"Concealed
existence"
Resourceful,Inhuman Psyche,Misguided,"Concealed
existence"
Opportunists,Vengeful,Anti-state,Political beliefs
Skilful,Inhuman Psyche,Lack Social skills,Thrill-seeking
Smart,"Psychologically
Deviant",Intolerance to diversity of opinion,Manipulate others
Creative,Control freak,Anti-social,"Religious
fundamentalism"
Goal oriented,Coercive,Anti-establishment,Intolerance
Focussed,Secretive,Unlawful,"Religious
fundamentalism"
Skilful,Incited,Social dissatisfaction,Risk tolerance
Well-trained,Psychiatric conditions,Intolerance to diversity of opinion,Disregard for law
Creative,Vengeful,Socially inept,Lust
Well-trained,Psychiatric conditions,Anti-establishment,Need to Control others
Resourceful,Determined,Broken homes/families,Lust
Well trained,Insensitive,Intolerance to diversity of opinion,Revenge
Skilful,Emotional,Inferiority complex,"Religious
fundamentalism"
Sharp (intelligent),Gullible,Brain-washed,"Religious
fundamentalism"
Focussed,Coercive,Inferiority complex,Emotions
Bully,Passionate,Social dissatisfaction,"Concealed
existence"
Well-organized,Gullible,Low self-worth,Revenge
Strategic planners,Gullible,Misguided,Intolerance
Well-networked,Secretive,Anti-establishment,Emotions
Sharp (intelligent),Insensitive,Anti-social,Risk tolerance
Well-trained,Loner,Need to outsmart others,Manipulate others
Well-trained,Inhuman Psyche,Need to outsmart others,No fear of punishment
Well-networked,Chaotic state of mind,Misguided,Monetary Gain
Well trained,Insensitive,Misguided,Thrill-seeking
Well-networked,Insensitive,Lack Social skills,"Concealed
existence"
Well-organized,Risk-taker,Lack Social skills,Intolerance
Focussed,"Psychologically
Deviant",Inferiority complex,"Concealed
existence"
Skilful,Loner,Inferiority complex,Manipulate others
Well-networked,Conviction in Violence,Intolerance to diversity of opinion,Disregard for law
Skilful,Insensitive,Reinforcement available,"Concealed
existence"
Bully,Control freak,Misguided,Curiosity
Resourceful,Psychiatric conditions,Intolerance to diversity of opinion,Lust
Focussed,Conviction in Violence,Social dissatisfaction,Risk tolerance
Well-organized,Conviction in Violence,Inferiority complex,Political support
Sharp (intelligent),Immoral/ Unethical,Low self-worth,Monetary Gain
Well-organized,Risk-taker,Inferiority complex,Political support
Resourceful,Identity crisis,Reinforcement available,Monetary Gain
Resourceful,Coercive,Need to outsmart others,Experimentation
Strategic planners,"Psychologically
Deviant",Lack Social skills,Experimentation
Strategic planners,Vengeful,Intolerance to diversity of opinion,Plain boredom
Skilful,Loner,Anti-establishment,Political support
Well-networked,Passionate,Socially inept,Experimentation
Bully,Control freak,Radical,Emotions
Well trained,Gullible,Lack Social skills,Political beliefs
Well-trained,Vengeful,Intolerance to diversity of opinion,No fear of punishment
Focussed,Aggressive,Intolerance to diversity of opinion,Plain boredom
Well-trained,Aggressive,Social dissatisfaction,Emotions
Bully,Impatient,Unlawful,"Enhancing self-
worth"
Well trained,Insensitive,Unlawful,"Greed (easy, quick money)"
Goal oriented,Passionate,Rebellious,Thrill-seeking
Resourceful,Strong-willed,Rebellious,Risk tolerance
Skilful,Immoral/ Unethical,Anti-establishment,Plain boredom
Creative,Coward,Mass-destruction,Intolerance
Well-networked,Control freak,Brain-washed,"Concealed
existence"
Creative,Vengeful,Misguided,Curiosity
Strategic planners,"Psychologically
Deviant",Anti-social,Plain boredom
Well-organized,Selfish,Inferiority complex,Plain boredom
Sharp (intelligent),Loner,Radical,Experimentation
Well-trained,"Psychologically
Deviant",Anti-state,Manipulate others
Well-organized,Identity crisis,Social dissatisfaction,Revenge
Creative,Aggressive,Brain-washed,Intolerance
Opportunists,Immoral/ Unethical,Broken homes/families,Anger
Smart,Psychiatric conditions,Intolerance to diversity of opinion,Lust
Sharp (intelligent),Gullible,Marginalised,Political beliefs
Focussed,Chaotic state of mind,Unlawful,"Concealed
existence"
Sharp (intelligent),Passionate,Rationalization,Political beliefs
Opportunists,Vengeful,Intolerance to diversity of opinion,Need to Control others
Opportunists,Gullible,Anti-state,"Enhancing self-
worth"
Resourceful,Incited,Rebellious,Thrill-seeking
Focussed,Aggressive,Socially inept,No fear of punishment
Sharp (intelligent),Emotional,Lack Social skills,Need to Control others
Well-networked,Psychiatric conditions,Reinforcement available,"Greed (easy, quick money)"
Well-networked,Control freak,Lack Social skills,Disregard for law
Skilful,Inhuman Psyche,Rebellious,"Enhancing self-
worth"
Well trained,"Psychologically
Deviant",Low self-worth,Political beliefs
Well-networked,Incited,Inferiority complex,Thrill-seeking
Goal oriented,Inhuman Psyche,Mass-destruction,No fear of punishment
Smart,Loner,Intolerance to diversity of opinion,Manipulate others
Focussed,Insensitive,Marginalised,Political support
Well-trained,Vengeful,Broken homes/families,"Concealed
existence"
Well-networked,Risk-taker,Marginalised,Lust
Resourceful,Risk-taker,Anti-establishment,Political support
Goal oriented,Vengeful,Brain-washed,Intolerance
Resourceful,Impatient,"Insufficient social
support",Curiosity
Strategic planners,Emotional,Low self-worth,"Concealed
existence"
Focussed,"Psychologically
Deviant","Insufficient social
support",Revenge
Skilful,Coercive,Reinforcement available,"Greed (easy, quick money)"
Smart,Secretive,Rationalization,"Enhancing self-
worth"
Sharp (intelligent),Gullible,Marginalised,Revenge
Focussed,Aggressive,"Insufficient social
support",Political beliefs
Well-networked,Selfish,Rebellious,Anger
Goal oriented,Psychiatric conditions,Lack Social skills,"Religious
fundamentalism"
Goal oriented,"Psychologically
Deviant",Radical,"Greed (easy, quick money)"
Skilful,Determined,Anti-social,Intolerance
Sharp (intelligent),Coward,"Insufficient social
support",Monetary Gain
Well-networked,"Psychologically
Deviant",Reinforcement available,"Enhancing self-
worth"
Well-networked,Aggressive,Socially inept,"Enhancing self-
worth"
Well-organized,Vengeful,Inferiority complex,Anger
Opportunists,Immoral/ Unethical,Social dissatisfaction,Plain boredom
Bully,Gullible,Inferiority complex,"Concealed
existence"
Strategic planners,Selfish,Socially inept,"Enhancing self-
worth"
Opportunists,Chaotic state of mind,Anti-state,Manipulate others
Strategic planners,Loner,Broken homes/families,Manipulate others
Well trained,Psychiatric conditions,Socially inept,Monetary Gain
Well trained,Selfish,Intolerance to diversity of opinion,Need to Control others
Focussed,Risk-taker,Low self-worth,Thrill-seeking
Bully,Aggressive,Low self-worth,Intolerance
Well-trained,Immoral/ Unethical,Anti-establishment,Manipulate others
Well trained,Conviction in Violence,Radical,Experimentation
Well-organized,Identity crisis,Broken homes/families,Experimentation
Well-trained,Vengeful,Unlawful,Political beliefs
Resourceful,Passionate,Broken homes/families,Intolerance
Well trained,Risk-taker,Anti-establishment,Intolerance
Skilful,Aggressive,Misguided,Need to Control others
Sharp (intelligent),Aggressive,Low self-worth,"Enhancing self-
worth"
Resourceful,Gullible,Inferiority complex,Thrill-seeking
Well trained,"Psychologically
Deviant",Misguided,"Enhancing self-
worth"
Resourceful,Risk-taker,Anti-social,"Greed (easy, quick money)"
Strategic planners,Strong-willed,Broken homes/families,Need to Control others
Strategic planners,Risk-taker,Unlawful,"Greed (easy, quick money)"
Opportunists,Passionate,Low self-worth,Curiosity
Well trained,Secretive,Marginalised,Plain boredom
Skilful,Immoral/ Unethical,Low self-worth,"Greed (easy, quick money)"
Skilful,Inhuman Psyche,Need to outsmart others,Political support
Well-trained,Control freak,Anti-establishment,No fear of punishment
Smart,Impatient,Misguided,Anger
Sharp (intelligent),Control freak,Misguided,Manipulate others
Bully,Risk-taker,Anti-establishment,Political support
Sharp (intelligent),Insensitive,Mass-destruction,"Greed (easy, quick money)"
Smart,Insensitive,Socially inept,Intolerance
Well-organized,Vengeful,Unlawful,Lust
Goal oriented,Conviction in Violence,Reinforcement available,"Concealed
existence"
Resourceful,Selfish,Brain-washed,Plain boredom
Sharp (intelligent),Control freak,Mass-destruction,Curiosity
Sharp (intelligent),Secretive,Inferiority complex,Risk tolerance
Resourceful,Insensitive,Broken homes/families,Manipulate others
Focussed,Gullible,"Insufficient social
support",Emotions
Well-organized,Immoral/ Unethical,Low self-worth,Plain boredom
Goal oriented,Secretive,Anti-state,Need to Control others
Well-trained,Strong-willed,Socially inept,"Greed (easy, quick money)"
Strategic planners,Coercive,Lack Social skills,Revenge
Strategic planners,Vengeful,Brain-washed,Anger
Focussed,Coward,Mass-destruction,Intolerance
Opportunists,Secretive,Brain-washed,Political support
Skilful,Gullible,Need to outsmart others,Need to Control others
Strategic planners,Insensitive,Radical,Lust
Bully,Conviction in Violence,Low self-worth,"Religious
fundamentalism"
Resourceful,Impatient,Marginalised,Political support
Well-trained,Impatient,Reinforcement available,Curiosity
Well trained,Insensitive,Low self-worth,Experimentation
Strategic planners,Impatient,Social dissatisfaction,No fear of punishment
Well-trained,Insensitive,Social dissatisfaction,Intolerance
Well trained,Insensitive,Socially inept,Plain boredom
Well-networked,Conviction in Violence,Anti-state,"Enhancing self-
worth"
Strategic planners,Identity crisis,Need to outsmart others,Intolerance
Bully,Conviction in Violence,Need to outsmart others,Risk tolerance
Sharp (intelligent),Control freak,Brain-washed,No fear of punishment
Smart,Identity crisis,Radical,Monetary Gain
Focussed,Impatient,Rationalization,"Religious
fundamentalism"
Bully,Coward,Anti-state,Political beliefs
Well-organized,Strong-willed,Brain-washed,Need to Control others
Well-trained,Chaotic state of mind,Socially inept,"Concealed
existence"
Creative,Impatient,Intolerance to diversity of opinion,Disregard for law
Sharp (intelligent),Immoral/ Unethical,Anti-social,Lust
Well-trained,Insensitive,Inferiority complex,"Religious
fundamentalism"
Well-organized,Loner,Socially inept,Need to Control others
Strategic planners,Conviction in Violence,Anti-establishment,Manipulate others
Focussed,Conviction in Violence,Lack Social skills,Monetary Gain
Creative,Secretive,Lack Social skills,Curiosity
Goal oriented,Control freak,Socially inept,Need to Control others
Resourceful,Chaotic state of mind,Anti-state,Revenge
Well-networked,Aggressive,Marginalised,"Concealed
existence"
Well-networked,Chaotic state of mind,Intolerance to diversity of opinion,"Enhancing self-
worth"
Goal oriented,Emotional,Brain-washed,Experimentation
Resourceful,Aggressive,Intolerance to diversity of opinion,"Concealed
existence"
Well-organized,Insensitive,Rebellious,Risk tolerance
Resourceful,Chaotic state of mind,Inferiority complex,No fear of punishment
Sharp (intelligent),Insensitive,Need to outsmart others,Anger
Smart,Gullible,Unlawful,Manipulate others
Well-trained,"Psychologically
Deviant",Social dissatisfaction,"Religious
fundamentalism"
Opportunists,Identity crisis,Need to outsmart others,Risk tolerance
Focussed,Determined,Anti-state,Curiosity
Well-trained,Identity crisis,Socially inept,Disregard for law
Creative,Passionate,Intolerance to diversity of opinion,Plain boredom
Opportunists,Inhuman Psyche,Brain-washed,Anger
Sharp (intelligent),Inhuman Psyche,Intolerance to diversity of opinion,No fear of punishment
Creative,Selfish,Broken homes/families,Manipulate others
Goal oriented,Insensitive,"Insufficient social
support","Religious
fundamentalism"
Opportunists,Insensitive,Reinforcement available,Thrill-seeking
Skilful,"Psychologically
Deviant",Social dissatisfaction,Revenge
Well-organized,Immoral/ Unethical,Brain-washed,Plain boredom
Well-trained,Aggressive,Need to outsmart others,"Concealed
existence"
Creative,Gullible,Intolerance to diversity of opinion,"Concealed
existence"
Smart,Selfish,Need to outsmart others,"Greed (easy, quick money)"
Goal oriented,Determined,Socially inept,Experimentation
Skilful,Loner,Mass-destruction,Emotions
Skilful,Loner,Lack Social skills,Lust
Well trained,Immoral/ Unethical,Rationalization,Political beliefs
Focussed,Vengeful,Reinforcement available,Lust
Bully,Determined,Brain-washed,Manipulate others
Skilful,"Psychologically
Deviant",Misguided,Disregard for law
Sharp (intelligent),Emotional,Unlawful,Curiosity
Well trained,Insensitive,Reinforcement available,"Greed (easy, quick money)"
Goal oriented,Determined,Socially inept,Need to Control others
Focussed,Incited,Unlawful,Monetary Gain
Strategic planners,Identity crisis,Rebellious,Plain boredom
Bully,Determined,"Insufficient social
support",Political support
Strategic planners,Vengeful,Reinforcement available,"Concealed
existence"
Opportunists,Vengeful,Anti-establishment,Thrill-seeking
Opportunists,Coward,Mass-destruction,Monetary Gain
Skilful,Chaotic state of mind,Marginalised,Risk tolerance
Well trained,Strong-willed,Lack Social skills,Thrill-seeking
Well trained,Insensitive,Low self-worth,Need to Control others
Well-trained,Control freak,Marginalised,No fear of punishment
Goal oriented,Emotional,Unlawful,Intolerance
Well trained,Loner,Misguided,Manipulate others
Skilful,Chaotic state of mind,Mass-destruction,"Greed (easy, quick money)"
Focussed,Passionate,Need to outsmart others,Anger
